time,open,high,low,close,Line,Squeeze
1733714760,99125,99154,99125,99145,-107.75181818181801,2
1733714820,99134,99204,99134,99204,-60.67727272727484,2
1733714880,99221,99276,99213,99276,8.619090909088584,2
1733714940,99300,99300,99300,99300,70.48636363636123,2
1733715000,99167,99202,99167,99202,84.9736363636367,2
1733715060,99160,99160,99160,99160,73.23545454545557,2
1733715120,99194,99196,99194,99196,74.92909090909075,2
1733715180,99177,99177,99153,99153,48.30181818181804,2
1733715240,99127,99130,99109,99130,5.641818181820616,2
1733715300,99138,99138,99138,99138,-40.84909090908822,2
1733715360,99091,99091,99061,99061,-95.538181818179,2
1733715420,99075,99077,99075,99076,-123.2390909090916,2
1733715480,99061,99061,99061,99061,-131.16545454545755,2
1733715540,99060,99063,99060,99063,-111.45636363636665,2
1733715720,99076,99087,99076,99082,-92.12272727272912,2
1733715780,99093,99093,99093,99093,-73.03727272727224,2
1733715840,99061,99061,99061,99061,-53.82181818181628,2
1733715900,99060,99060,99014,99015,-46.502727272725835,2
1733715960,99015,99015,99015,99015,-40.43181818181607,2
1733716020,99025,99025,99012,99012,-29.99818181817828,2
1733716080,99002,99002,98931,98941,-48.17909090908651,2
1733716140,98931,98931,98892,98892,-74.33181818181528,2
1733716200,98883,98936,98881,98936,-82.08999999999888,2
1733716260,98881,98881,98824,98840,-108.70454545454729,2
1733716320,98825,98825,98750,98760,-141.93363636363887,2
1733716380,98816,98822,98738,98765,-153.40909090909489,2
1733716440,98732,98841,98528,98841,-114.00090909091391,2
1733716500,98962,99002,98962,98969,-32.16181818182338,2
1733716560,99011,99069,99011,99069,70.04727272726834,2
1733716620,99101,99101,99101,99101,167.03363636363434,2
1733716680,99070,99094,99067,99094,234.77727272727006,2
1733716740,99137,99166,99137,99162,292.8509090909057,2
1733716800,99163,99163,99163,99163,337.3499999999992,2
1733716860,99083,99102,99083,99102,324.98727272727115,2
1733716920,99236,99299,99236,99278,326.95818181818254,2
1733716980,99295,99347,99295,99345,318.58818181818356,2
1733717040,99347,99419,99347,99356,263.9190909090931,2
1733717100,99314,99314,99294,99294,195.67000000000274,2
1733717160,99319,99386,99319,99386,168.5454545454561,2
1733717220,99343,99343,99327,99327,124.75727272727292,2
1733717280,99325,99325,99321,99321,79.27636363636412,2
1733717340,99344,99344,99344,99344,55.225454545452834,2
1733717400,99296,99296,99281,99283,16.265454545452258,2
1733717460,99265,99265,99265,99265,-46.365454545456316,1
1733717520,99283,99305,99283,99305,-61.91181818182048,1
1733717580,99317,99317,99276,99276,-63.55636363636714,1
1733717640,99259,99268,99259,99268,-70.98636363636494,2
1733717700,99303,99344,99303,99344,-58.82545454545365,2
1733717820,99352,99352,99351,99351,-24.92090909090713,2
1733717880,99261,99261,99261,99261,-29.223636363633236,2
1733717940,99219,99224,99190,99190,-47.40363636363499,2
1733718000,99195,99195,99195,99195,-50.394545454542495,2
1733718060,99100,99100,99100,99100,-80.48272727272521,2
1733718120,99091,99091,99062,99062,-121.80181818181804,2
1733718180,99069,99098,99069,99098,-135.3527272727277,2
1733718240,99071,99071,99071,99071,-155.13909090909266,2
1733718300,98971,98971,98971,98971,-191.0709090909087,2
1733718360,98867,98867,98867,98867,-223.08909090909162,2
1733718540,99066,99068,99066,99068,-154.5909090909075,2
1733718600,99171,99171,99171,99171,-60.25363636363208,2
1733718660,99108,99132,99108,99131,6.099090909094571,2
1733718720,99147,99147,99142,99142,72.53090909091193,2
1733718780,99148,99161,99148,99158,121.22636363636701,2
1733718840,99204,99225,99204,99211,163.56181818182176,2
1733719020,99330,99330,99330,99330,226.6900000000023,2
1733719080,99345,99346,99345,99346,267.4545454545465,2
1733719140,99294,99311,99294,99311,258.54818181818274,2
1733719200,99327,99345,99327,99345,205.32000000000141,2
1733719260,99291,99403,99291,99403,184.78636363636681,2
1733719320,99425,99434,99425,99434,182.58272727272916,2
1733719380,99395,99395,99395,99395,150.75818181818335,2
1733719680,99375,99375,99355,99355,103.84181818182037,2
1733719740,99345,99345,99345,99345,50.934545454546935,2
1733719800,99339,99340,99339,99340,-1.5881818181792937,1
1733719860,99340,99412,99340,99412,-5.421818181817599,2
1733719920,99439,99490,99439,99490,19.74181818181799,2
1733719980,99499,99500,99499,99500,40.36363636363636,2
1733720100,99471,99483,99471,99483,48.60090909090729,2
1733720160,99437,99439,99429,99429,39.83181818181923,2
1733720220,99427,99427,99409,99409,34.11909090909308,2
1733720280,99442,99442,99442,99442,35.941818181819556,2
1733720400,99473,99500,99473,99497,47.98636363636338,2
1733720460,99457,99479,99457,99479,43.47545454545312,2
1733720520,99479,99514,99479,99514,38.289999999999154,2
1733720580,99525,99550,99525,99550,42.8036363636371,2
1733720640,99521,99521,99479,99494,37.94545454545296,2
1733720700,99470,99470,99470,99470,29.770909090906073,2
1733720760,99475,99475,99475,99475,24.649090909088216,2
1733720820,99545,99545,99474,99474,9.31363636363583,2
1733720940,99561,99561,99503,99503,-4.301818181815385,1
1733721000,99522,99541,99521,99541,-2.5381818181808598,1
1733721060,99540,99540,99517,99517,-0.6300000000017505,1
1733721120,99545,99559,99545,99559,11.519999999996134,1
